customer_id,plan,mrr,start_date,end_date,churn_reason,source_system
C0046,starter,47.0,2023-06-03,2024-06-24,involuntary,crm
C0047,starter,52.0,2023-12-22,2025-03-31,voluntary,billing
C0048,pro,146.0,2022-09-28,2023-02-14,involuntary,crm
C0049,pro,149.0,2022-07-28,,,crm
C0050,starter,44.0,2022-04-05,,,crm
C0051,starter,46.0,2023-10-15,,,crm
C0052,pro,,2023-07-29,2023-11-13,,crm
C0053,pro,153.0,2023-07-20,2023-12-27,voluntary,crm
C0054,pro,144.0,2023-01-02,2023-10-14,involuntary,crm
C0055,enterprise,500.0,2023-09-28,,,crm
C0056,enterprise,496.0,2024-06-21,,,crm
C0057,starter,50.0,2024-04-01,,,crm
C0058,pro,145.0,2023-01-27,,,billing
C0059,pro,151.0,2022-12-25,2023-09-14,voluntary,crm
C0060,starter,45.0,2024-03-02,2025-03-31,voluntary,billing
C0061,starter,48.0,2022-07-02,,,crm
C0062,pro,149.0,2024-01-17,,,crm
C0063,pro,150.0,2023-08-14,2023-10-28,involuntary,crm
C0064,pro,154.0,2024-01-07,,,crm
C0065,starter,54.0,2022-12-05,,,crm
C0066,starter,48.0,2023-11-14,,,crm
C0067,pro,147.0,2023-03-07,,,crm
C0068,enterprise,503.0,2023-08-06,2025-03-19,involuntary,crm
C0069,starter,53.0,2023-09-14,,,billing
C0070,pro,152.0,2023-04-30,,,crm
C0071,starter,54.0,2023-10-11,,,crm
C0072,pro,154.0,2022-11-14,2023-07-05,voluntary,crm
C0073,starter,45.0,2023-04-12,,,legacy
C0074,pro,151.0,2023-02-14,2025-01-15,involuntary,crm
C0075,starter,52.0,2023-04-21,2024-01-31,,crm
C0076,pro,154.0,2023-06-28,,,legacy
C0077,pro,151.0,2023-09-20,,,billing
C0078,enterprise,501.0,2022-06-12,,,billing
C0079,pro,154.0,2022-10-11,,,billing
C0080,starter,51.0,2022-03-21,,,crm
C0081,starter,52.0,2022-03-24,2022-12-15,voluntary,crm
C0082,starter,50.0,2022-12-05,,,crm
C0083,pro,150.0,2024-02-28,,,crm
C0084,pro,150.0,2023-05-04,2024-05-28,voluntary,crm
C0085,enterprise,500.0,2023-07-06,,,billing
C0086,enterprise,501.0,2022-08-13,2024-01-22,voluntary,crm
C0087,pro,146.0,2024-05-10,,,crm
C0088,pro,150.0,2023-08-30,,,crm
C0089,starter,51.0,2022-07-06,2023-08-28,voluntary,billing
C0090,pro,150.0,2022-10-12,,,crm
C0091,starter,44.0,2024-02-07,,,crm
C0092,starter,54.0,2022-02-11,,,crm
C0093,starter,46.0,2022-09-02,2024-08-17,voluntary,crm
C0094,starter,49.0,2022-06-21,,,crm
C0095,starter,48.0,2022-04-21,,,crm
C0096,enterprise,500.0,2023-02-11,,,crm
C0097,pro,154.0,2022-09-06,2023-08-11,involuntary,legacy
C0098,pro,153.0,2024-03-12,2025-03-31,voluntary,crm
C0099,pro,144.0,2024-05-19,,,billing
C0100,enterprise,504.0,2024-04-28,,,crm
C0101,pro,154.0,2022-10-04,,,billing
C0102,starter,53.0,2022-10-02,2023-07-10,involuntary,crm
C0103,starter,51.0,2023-08-07,,,crm
C0104,starter,49.0,2022-07-06,,,crm
C0105,Starter,53.0,2023-12-20,,,billing
C0106,starter,50.0,2023-05-16,,,crm
C0107,pro,151.0,2023-04-04,,,crm
C0108,starter,47.0,2022-11-10,,,crm
C0109,pro,150.0,2024-02-03,,,crm
C0110,starter,48.0,2022-08-25,2023-04-09,voluntary,billing
C0111,pro,147.0,2022-08-10,,,crm
C0112,enterprise,502.0,2023-09-04,2024-01-14,involuntary,crm
C0113,starter,44.0,2023-12-27,,,crm
C0114,starter,48.0,2023-12-16,,,billing
C0115,starter,48.0,2023-04-26,,,crm
C0116,starter,51.0,2022-04-27,,,crm
C0117,pro,154.0,2022-02-24,2023-10-23,,crm
C0118,starter,50.0,2023-09-13,,,legacy
C0119,pro,151.0,2023-03-30,2024-12-21,,crm
C0120,starter,45.0,2024-02-21,2024-10-24,voluntary,crm
C0121,starter,45.0,2022-06-10,2023-10-14,involuntary,billing
C0122,starter,48.0,2023-12-21,,,crm
C0123,enterprise,504.0,2023-08-27,,,crm
C0124,pro,,2022-06-02,,,crm
C0125,starter,48.0,2023-09-02,,,legacy
C0126,starter,51.0,2023-12-07,2025-02-21,,billing
C0127,starter,,2022-02-10,,,crm
C0128,starter,47.0,2023-11-22,,,legacy
C0129,starter,54.0,2024-04-21,2024-07-01,involuntary,crm
C0130,pro,148.0,2022-07-05,,,crm
C0131,starter,45.0,2023-04-27,2024-05-02,voluntary,crm
C0132,starter,51.0,2022-10-23,,,crm
C0133,pro,151.0,2022-04-01,2023-03-28,voluntary,crm
C0134,pro,144.0,2023-11-05,,,billing
C0135,starter,49.0,2023-09-30,,,billing
C0136,starter,52.0,2022-05-15,,,billing
C0137,starter,,2023-10-08,,,crm
C0138,starter,44.0,2023-07-20,,,crm
C0139,enterprise,501.0,2022-05-01,,,crm
C0140,pro,152.0,2023-12-24,2025-03-31,,crm
C0141,starter,47.0,2023-09-06,,,crm
C0142,starter,50.0,2022-12-15,,,billing
C0143,starter,48.0,2024-05-07,,,billing
C0144,starter,51.0,2022-12-20,2024-07-28,voluntary,crm
C0145,enterprise,497.0,2023-08-09,,,crm
C0146,pro,150.0,2023-01-31,,,crm
C0147,starter,52.0,2023-08-28,2024-01-07,involuntary,billing
C0148,enterprise,494.0,2024-01-10,2025-03-31,,crm
C0149,enterprise,499.0,2023-10-01,,,crm
C0150,enterprise,502.0,2023-01-25,,,billing
C0151,starter,45.0,2022-08-29,,,crm
C0152,pro,150.0,2022-04-11,,,crm
C0153,pro,144.0,2022-02-17,2022-05-15,voluntary,crm
C0154,starter,50.0,2023-08-03,,,crm
C0155,starter,50.0,2023-09-27,,,billing
C0156,starter,51.0,2023-10-16,2024-08-02,involuntary,billing
C0157,pro,146.0,2022-03-17,,,crm
C0158,starter,50.0,2023-12-08,2024-11-11,voluntary,crm
C0159,starter,50.0,2023-08-09,,,crm
C0160,starter,54.0,2023-02-10,2024-10-11,involuntary,crm
C0161,pro,148.0,2024-03-05,,,legacy
C0162,starter,47.0,2023-09-28,2025-03-31,involuntary,crm
C0163,enterprise,504.0,2022-02-10,2023-06-06,voluntary,crm
C0164,starter,48.0,2022-12-01,,,crm
C0165,pro,149.0,2023-06-28,,,crm
C0166,starter,51.0,2024-04-05,2025-03-31,involuntary,billing
C0167,starter,47.0,2024-05-30,,,crm
C0168,pro,149.0,2022-04-03,,,crm
C0169,starter,49.0,2023-11-20,,,crm
C0170,pro ,149.0,2022-04-21,,,billing
C0171,starter,53.0,2022-08-15,,,billing
C0172,starter,50.0,2022-04-30,2022-07-07,voluntary,billing
C0173,starter,52.0,2022-05-19,,,crm
C0174,pro,152.0,2023-03-06,,,crm
C0175,pro,151.0,2023-09-23,,,crm
C0176,starter,51.0,2023-04-01,,,crm
C0177,pro,152.0,2023-10-23,,,crm
C0178,enterprise,501.0,2022-04-04,,,legacy
C0179,starter,49.0,2022-09-07,,,legacy
C0180,pro,152.0,2022-08-01,,,crm
C0181,starter,53.0,2022-01-03,2022-06-30,,billing
C0182,starter,54.0,2024-06-06,2024-07-21,voluntary,crm
C0183,starter,48.0,2022-02-23,2023-05-30,voluntary,crm
C0184,pro,152.0,2023-08-31,2025-02-27,voluntary,legacy
C0185,pro,154.0,2023-06-18,2025-03-31,,crm
C0186,pro,150.0,2023-12-04,2025-03-31,voluntary,crm
C0187,starter,46.0,2022-10-09,,,legacy
C0188,starter,53.0,2023-06-28,2024-12-26,involuntary,crm
C0189,starter,54.0,2023-10-29,,,billing
C0190,starter,51.0,2024-06-28,2025-03-31,involuntary,crm
C0191,starter,50.0,2022-11-17,,,crm
C0192,pro,151.0,2022-03-10,2022-07-05,voluntary,crm
C0193,starter,46.0,2023-07-24,2025-03-20,voluntary,crm
C0194,enterprise,500.0,2024-06-07,,,crm
C0195,pro,149.0,2022-04-17,,,crm
C0196,starter,45.0,2022-12-25,,,crm
C0197,starter,47.0,2024-04-06,,,billing
C0198,pro,153.0,2023-11-23,,,crm
C0199,Pro,148.0,2022-01-30,2023-01-11,,crm
C0200,pro,150.0,2022-03-13,2024-01-20,,crm
C0201,starter,50.0,2023-04-10,2024-05-22,voluntary,crm
C0202,pro,145.0,2024-06-23,2024-12-31,involuntary,crm
C0203,starter,54.0,2023-03-11,,,billing
C0204,starter,52.0,2022-04-27,2022-09-18,voluntary,legacy
C0205,pro,144.0,2022-08-14,,,legacy
C0206,starter_v1,47.0,2024-02-25,2024-12-12,voluntary,crm
C0207,starter,46.0,2023-01-25,,,crm
C0208,pro,149.0,2022-03-15,,,crm
C0209,starter,45.0,2024-06-01,2025-03-31,voluntary,crm
C0210,starter,49.0,2022-06-25,,,legacy
C0211,pro,149.0,2022-04-01,,,crm
C0212,pro,152.0,2022-03-22,,,crm
C0213,starter,46.0,2022-03-20,,,crm
C0214,starter,49.0,2022-12-26,,,crm
C0215,starter,47.0,2022-06-27,,,crm
C0216,pro,151.0,2023-04-21,,,legacy
C0217,enterprise,503.0,2023-10-21,,,legacy
C0218,enterprise,499.0,2022-06-04,,,billing
C0219,starter,48.0,2023-08-29,2025-02-28,voluntary,billing
C0220,starter,48.0,2022-03-20,,,crm
C0221,pro,151.0,2023-08-18,,,crm
C0222,pro,154.0,2022-07-12,2023-12-11,voluntary,crm
C0223,pro,149.0,2024-01-02,2025-03-31,voluntary,crm
C0224,enterprise,502.0,2023-06-20,,,crm
C0225,starter,50.0,2024-03-04,2025-03-31,voluntary,crm
C0226,starter,54.0,2023-01-31,2025-01-03,,legacy
C0227,starter,53.0,2023-11-11,2024-12-03,voluntary,crm
C0228,pro,145.0,2022-11-14,,,crm
C0229,PRO,154.0,2023-06-24,2025-03-31,voluntary,crm
C0230,starter,47.0,2022-12-16,,,billing
C0231,enterprise,496.0,2022-03-21,2022-08-01,voluntary,billing
C0232,enterprise,494.0,2023-11-09,2025-03-31,voluntary,crm
C0233,starter,53.0,2024-04-08,,,billing
C0234,starter,47.0,2023-03-31,,,billing
C0235,starter,51.0,2024-05-05,2025-03-31,,billing
C0236,starter,50.0,2023-05-30,,,crm
C0237,pro,146.0,2024-06-12,2025-03-31,voluntary,crm
C0238,starter,52.0,2024-05-21,2024-09-13,involuntary,crm
C0239,pro,150.0,2022-04-04,,,crm
C0240,enterprise,494.0,2023-03-01,2024-08-26,voluntary,crm
C0241,starter,44.0,2022-11-23,,,crm
C0242,starter,48.0,2024-04-29,,,crm
C0243,starter,53.0,2022-01-06,,,crm
C0244,pro,152.0,2024-01-15,,,crm
C0245,starter,48.0,2022-05-05,2023-08-08,involuntary,legacy
C0246,starter,51.0,2023-09-04,,,billing
C0247,pro,148.0,2023-03-16,2024-04-10,voluntary,crm
C0248,pro,152.0,2023-01-05,2024-07-26,voluntary,billing
C0249,starter,51.0,2022-02-14,,,crm
C0250,starter,45.0,2022-12-20,2024-11-22,involuntary,legacy
C0251,starter,44.0,2022-12-27,,,crm
C0252,pro,151.0,2023-10-09,2024-03-25,voluntary,billing
C0253,starter,47.0,2024-06-26,2025-03-31,voluntary,billing
C0254,starter,54.0,2022-07-15,2022-10-01,involuntary,crm
C0255,pro,150.0,2024-06-29,,,billing
C0256,starter,46.0,2023-05-24,,,crm
C0257,pro,145.0,2024-01-15,,,crm
C0258,pro,152.0,2022-10-28,2023-02-16,voluntary,crm
C0259,pro,150.0,2022-06-20,,,crm
C0260,pro,149.0,2023-09-22,,,crm
C0261,pro,144.0,2022-03-18,,,crm
C0262,pro,154.0,2022-06-13,,,crm
C0263,pro,151.0,2022-02-05,2022-11-03,involuntary,crm
C0264,enterprise,494.0,2023-09-12,2025-01-14,,crm
C0265,starter,46.0,2023-06-27,,,crm
C0266,starter,45.0,2022-01-27,,,billing
C0267,enterprise,495.0,2022-09-26,,,billing
C0268,pro,151.0,2022-07-24,2022-11-06,voluntary,billing
C0269,pro,149.0,2023-11-15,2024-02-19,voluntary,crm
C0270,enterprise,504.0,2022-06-28,,,billing
C0271,enterprise,496.0,2022-08-31,,,crm
C0272,pro,151.0,2024-04-02,,,crm
C0273,starter,48.0,2023-02-12,,,billing
C0274,pro,153.0,2022-03-17,2023-03-06,involuntary,billing
C0275,pro,146.0,2024-06-18,,,billing
C0276,starter,46.0,2023-03-20,,,crm
C0277,pro,148.0,2022-06-18,2023-03-05,voluntary,billing
C0278,pro,148.0,2022-07-21,,,billing
C0279,pro,153.0,2023-07-01,2025-03-31,voluntary,legacy
C0280,pro,153.0,2022-12-12,,,legacy
C0281,enterprise,495.0,2022-02-16,,,legacy
C0282,starter,53.0,2023-03-03,,,crm
C0283,pro,148.0,2023-10-20,,,billing
C0284,pro,150.0,2022-11-01,,,crm
C0285,starter,51.0,2022-07-28,2023-01-21,voluntary,crm
C0286,enterprise,500.0,2022-05-14,,,billing
C0287,starter,51.0,2022-05-06,2023-02-13,voluntary,crm
C0288,starter,53.0,2023-03-05,2023-09-15,involuntary,legacy
C0289,starter,46.0,2023-05-26,,,billing
C0290,starter,44.0,2022-04-03,,,billing
C0291,starter,53.0,2022-12-28,2023-11-11,voluntary,billing
C0292,starter,45.0,2023-03-18,2024-01-12,involuntary,crm
C0293,starter,53.0,2023-07-30,2025-03-17,voluntary,crm
C0294,pro,148.0,2024-04-25,,,legacy
C0295,enterprise,500.0,2023-01-18,,,crm
C0296,starter,46.0,2022-07-23,,,crm
C0297,starter,46.0,2024-01-01,2025-03-31,voluntary,crm
C0298,pro,149.0,2023-09-20,2024-11-25,,crm
C0299,pro,152.0,2023-06-30,,,legacy
C0300,pro,149.0,2022-12-06,,,crm
C0301,pro,154.0,2022-01-28,,,crm
C0302,pro,153.0,2023-08-15,2023-11-05,voluntary,crm
C0303,pro,150.0,2022-06-01,,,crm
C0304,enterprise,495.0,2022-07-15,2023-07-01,voluntary,crm
C0305,starter,53.0,2023-04-28,,,crm
C0306,pro,152.0,2022-11-29,,,billing
C0307,starter,46.0,2023-04-16,,,crm
C0308,pro,154.0,2023-10-21,,,crm
C0309,starter,47.0,2022-10-13,,,crm
C0310,enterprise,498.0,2023-12-23,2025-03-31,voluntary,crm
C0311,enterprise,498.0,2022-10-22,2024-10-13,voluntary,crm
C0312,enterprise,496.0,2022-10-25,2023-02-12,voluntary,billing
C0313,pro,147.0,2022-07-26,,,crm
C0314,pro,146.0,2022-04-22,,,legacy
C0315,starter,52.0,2022-08-20,,,crm
C0316,starter_v1,51.0,2022-04-13,,,crm
C0317,enterprise,496.0,2023-02-21,,,billing
C0318,starter,48.0,2022-11-25,2023-02-23,,crm
C0319,starter,44.0,2022-06-29,,,crm
C0320,starter,50.0,2024-03-17,,,crm
C0321,starter,53.0,2023-09-10,2024-09-17,voluntary,billing
C0322,enterprise,496.0,2024-05-21,,,crm
C0323,starter,46.0,2024-01-19,,,crm
C0324,starter,49.0,2024-03-20,2025-03-31,involuntary,crm
C0325,pro,150.0,2024-04-26,,,crm
C0326,PRO,146.0,2022-05-24,,,crm
C0327,starter,48.0,2022-12-04,2024-08-11,voluntary,crm
C0328,starter,45.0,2023-04-22,2024-07-10,involuntary,crm
C0329,pro,148.0,2023-01-12,,,crm
C0330,starter,51.0,2024-02-05,,,crm
C0331,pro,151.0,2024-02-15,,,crm
C0332,pro,153.0,2024-06-13,,,billing
C0333,pro,145.0,2023-08-01,2025-03-13,,crm
C0334,starter,49.0,2024-05-24,,,crm
C0335,pro,151.0,2022-04-04,,,billing
C0336,starter,52.0,2023-03-02,,,crm
C0337,pro,,2024-01-11,2024-10-27,involuntary,crm
C0338,starter,49.0,2023-12-19,2024-03-19,,crm
C0339,starter,48.0,2023-02-23,2023-08-10,involuntary,crm
C0340,enterprise,501.0,2024-06-09,,,crm
C0341,pro,154.0,2024-06-14,,,crm
C0342,enterprise,500.0,2023-06-26,2024-03-10,involuntary,crm
C0343,starter,52.0,2023-03-11,,,crm
C0344,starter,48.0,2022-07-13,,,crm
C0345,pro,153.0,2024-02-24,,,crm
C0346,starter,53.0,2022-02-04,,,crm
C0347,starter,51.0,2022-08-28,,,crm
C0348,enterprise,497.0,2024-04-15,,,legacy
C0349,pro,154.0,2024-04-18,2025-03-23,involuntary,billing
C0350,starter,44.0,2023-07-25,,,crm
C0351,starter,51.0,2022-02-18,,,crm
C0352,starter,50.0,2023-02-23,2024-04-13,voluntary,billing
C0353,pro,148.0,2024-05-28,,,billing
C0354,pro,150.0,2023-07-25,,,crm
C0355,starter,54.0,2022-03-22,,,crm
C0356,pro,147.0,2022-02-22,2024-02-11,involuntary,crm
C0357,starter,53.0,2024-01-12,,,crm
C0358,enterprise,499.0,2022-11-07,,,crm
C0359,starter,45.0,2024-02-04,,,billing
C0360,pro,147.0,2023-02-11,,,billing
C0361,starter,51.0,2023-07-01,,,crm
C0362,pro,151.0,2023-04-23,2024-09-14,involuntary,crm
C0363,starter,50.0,2022-02-16,,,crm
C0364,starter,52.0,2023-08-22,,,crm
C0365,starter,47.0,2023-01-24,,,crm
C0366,pro,154.0,2022-12-12,2024-05-25,,billing
C0367,pro,149.0,2022-06-23,2024-02-02,voluntary,billing
C0368,enterprise,502.0,2022-02-04,,,crm
C0369,pro ,144.0,2023-02-27,2025-01-02,voluntary,crm
C0370,starter,44.0,2023-09-25,,,legacy
C0371,pro ,144.0,2022-01-07,,,crm
C0372,pro,152.0,2022-10-21,2024-10-10,voluntary,crm
C0373,starter,46.0,2022-09-04,2024-03-26,voluntary,crm
C0374,starter,49.0,2023-02-20,,,crm
C0375,starter,54.0,2024-04-27,,,crm
C0376,starter,52.0,2023-05-03,2023-06-11,involuntary,crm
C0377,starter,49.0,2023-08-03,,,crm
C0378,enterprise,497.0,2022-08-05,,,legacy
C0379,starter,45.0,2023-12-02,,,billing
C0380,starter,49.0,2022-01-17,,,legacy
C0381,pro,150.0,2022-03-20,2023-11-17,voluntary,crm
C0382,pro,150.0,2024-02-13,,,crm
C0383,enterprise,494.0,2022-04-11,,,crm
C0384,PRO,153.0,2023-02-11,,,crm
C0385,pro,151.0,2023-05-18,2025-01-03,,crm
C0386,pro,150.0,2022-03-29,,,crm
C0387,pro,145.0,2022-10-02,2024-08-11,voluntary,crm
C0388,starter,44.0,2022-11-12,,,crm
C0389,starter,50.0,2023-04-05,,,billing
C0390,STARTER,49.0,2023-07-22,2025-03-31,involuntary,crm
C0391,starter,45.0,2024-01-13,,,crm
C0392,starter,50.0,2022-06-23,2023-05-27,voluntary,crm
C0393,starter,50.0,2022-11-03,,,crm
C0394,enterprise,504.0,2023-05-23,,,crm
C0395,starter,44.0,2023-02-10,2024-12-06,voluntary,crm
C0396,starter,54.0,2023-09-01,2024-08-24,involuntary,crm
C0397,starter,50.0,2022-11-23,2024-10-02,voluntary,legacy
C0398,starter,48.0,2024-04-16,,,crm
C0399,pro,153.0,2023-07-13,2025-02-25,voluntary,billing
C0400,starter,48.0,2024-05-01,,,crm
C0401,starter,48.0,2022-09-05,2023-03-11,involuntary,crm
C0402,enterprise,501.0,2023-08-20,,,billing
C0403,enterprise,500.0,2023-07-11,2024-08-12,involuntary,billing
C0404,enterprise,495.0,2024-02-27,2025-03-31,voluntary,legacy
C0405,enterprise,504.0,2023-10-25,,,crm
C0406,starter,44.0,2022-04-11,2023-10-15,involuntary,billing
C0407,pro,151.0,2023-01-19,,,legacy
C0408,starter,44.0,2023-05-10,2024-08-07,,crm
C0409,enterprise,496.0,2022-12-23,2024-05-02,involuntary,billing
C0410,starter,51.0,2024-01-10,,,crm
C0411,starter,45.0,2022-01-24,,,crm
C0412,starter,47.0,2023-06-13,2023-12-23,voluntary,crm
C0413,starter_v1,50.0,2023-10-07,2025-03-31,involuntary,crm
C0414,enterprise,501.0,2023-08-30,,,crm
C0415,starter,45.0,2023-08-15,2025-03-16,voluntary,crm
C0416,starter,54.0,2024-06-02,,,crm
C0417,pro,153.0,2022-04-27,2023-09-07,involuntary,crm
C0418,pro,154.0,2022-05-18,2023-02-16,voluntary,crm
C0419,starter,50.0,2023-03-05,,,legacy
C0420,starter,54.0,2023-07-05,,,crm
C0421,starter,46.0,2022-07-11,2023-11-14,involuntary,crm
C0422,starter,47.0,2024-04-14,,,billing
C0423,starter,54.0,2023-05-19,,,billing
C0424,starter,44.0,2024-03-25,,,crm
C0425,starter,48.0,2022-06-22,,,legacy
C0426,pro,152.0,2023-06-08,2023-11-01,voluntary,billing
C0427,starter,44.0,2024-02-18,,,billing
C0428,starter,54.0,2024-02-09,2024-04-12,voluntary,crm
C0429,starter,45.0,2024-03-05,,,crm
C0430,pro,149.0,2024-05-31,,,crm
C0431,starter,47.0,2024-04-13,2024-07-12,voluntary,billing
C0432,pro,149.0,2023-12-22,2025-03-31,voluntary,billing
C0433,pro,145.0,2022-05-19,,,crm
C0434,enterprise,504.0,2022-05-10,,,crm
C0435,pro,147.0,2024-02-19,,,crm
C0436,pro,148.0,2023-10-05,,,billing
C0437,pro,145.0,2023-02-17,,,crm
C0438,enterprise,501.0,2023-05-15,2023-06-16,involuntary,crm
C0439,starter,54.0,2023-12-16,,,crm
C0440,starter,50.0,2024-04-24,2025-02-22,voluntary,crm
C0441,pro,153.0,2024-05-22,,,crm
C0442,Pro,144.0,2022-04-12,,,billing
C0443,starter,44.0,2023-03-15,2023-08-27,involuntary,crm
C0444,enterprise,498.0,2022-04-06,,,crm
C0445,pro,154.0,2022-06-19,2024-04-19,voluntary,crm
C0446,starter,45.0,2022-01-02,2022-04-21,voluntary,crm
C0447,starter,44.0,2023-12-14,2024-05-15,,crm
C0448,starter,47.0,2023-01-28,2023-06-11,voluntary,crm
C0449,starter,46.0,2023-10-19,,,crm
C0450,pro,153.0,2023-10-28,2024-11-20,involuntary,crm
C0451,pro,151.0,2024-05-30,2024-10-09,voluntary,crm
C0452,starter,50.0,2022-11-19,,,crm
C0453,starter,52.0,2023-09-08,,,legacy
C0454,enterprise,494.0,2024-05-18,,,crm
C0455,pro,147.0,2024-02-05,,,crm
C0456,pro,147.0,2023-05-22,,,crm
C0457,pro,152.0,2024-06-29,,,crm
C0458,starter,53.0,2023-03-07,,,crm
C0459,enterprise,495.0,2022-01-18,,,crm
C0460,starter,44.0,2024-03-19,,,crm
C0461,pro,150.0,2023-03-10,,,crm
C0462,pro,146.0,2022-10-12,2023-01-30,voluntary,crm
C0463,starter,49.0,2023-02-05,,,crm
C0464,starter,47.0,2022-03-01,2023-06-19,voluntary,legacy
C0465,starter,54.0,2024-01-29,2024-03-11,involuntary,crm
C0466,enterprise,502.0,2023-06-14,,,crm
C0467,starter,48.0,2024-01-21,,,crm
C0468,starter,52.0,2022-03-07,2023-11-17,involuntary,billing
C0469,starter,51.0,2024-05-29,,,crm
C0470,pro,153.0,2023-11-22,,,crm
C0471,starter,44.0,2022-09-08,2023-10-15,voluntary,crm
C0472,enterprise,494.0,2023-07-21,,,crm
C0473,starter,49.0,2022-10-05,,,legacy
C0474,pro,144.0,2022-07-03,2024-01-12,,crm
C0475,starter,48.0,2024-03-03,,,crm
C0476,starter,49.0,2022-07-25,2023-07-01,involuntary,crm
C0477,pro,151.0,2024-03-02,,,billing
C0478,starter,44.0,2023-02-24,2024-09-30,voluntary,crm
C0479,starter,54.0,2023-01-21,,,crm
C0480,pro,147.0,2023-03-06,,,crm
C0481,starter,48.0,2022-04-06,2022-12-29,involuntary,billing
C0482,enterprise,501.0,2024-02-05,2024-06-11,voluntary,crm
C0483,pro,150.0,2023-11-10,,,crm
C0484,enterprise,500.0,2023-12-19,,,crm
C0485,starter,45.0,2022-07-27,2024-04-15,voluntary,crm
C0486,starter,50.0,2022-05-04,,,crm
C0487,starter,45.0,2022-04-03,2023-03-11,involuntary,legacy
C0488,pro,149.0,2022-06-01,2023-03-12,,crm
C0489,pro,148.0,2024-04-19,,,crm
C0490,enterprise,502.0,2024-02-06,,,crm
C0491,pro,146.0,2022-05-05,2023-01-17,voluntary,crm
C0492,pro,154.0,2022-03-28,,,crm
C0493,starter,45.0,2022-07-22,,,billing
C0494,starter,49.0,2022-05-06,2023-09-21,voluntary,legacy
C0495,pro,151.0,2022-01-31,,,crm
C0496,starter,46.0,2022-10-09,2023-04-10,voluntary,legacy
C0497,pro,151.0,2023-02-26,,,billing
C0498,starter,46.0,2023-03-06,2024-09-24,voluntary,billing
C0499,enterprise,499.0,2023-05-07,,,billing
C0500,PRO,149.0,2023-02-02,2023-03-30,voluntary,crm
C0030,starter,51.0,2024-04-06,,,crm
C0415,starter,45.0,2023-08-15,2025-03-16,voluntary,crm
C0242,starter,48.0,2024-04-29,,,crm
C0272,pro,151.0,2024-04-02,,,crm
C0184,pro,152.0,2023-08-31,2025-02-27,voluntary,legacy
C0393,starter,50.0,2022-11-03,,,crm
C0300,pro,149.0,2022-12-06,,,crm
C0120,starter,45.0,2024-02-21,2024-10-24,voluntary,crm
C0499,enterprise,499.0,2023-05-07,,,billing
C0082,starter,50.0,2022-12-05,,,crm
